CapShape,CapColor,Odor,GillSize,Habitat,Edible
Bell,Brown,None,Broad,Grass,Yes
Convex,White,Foul,Narrow,Forest,No
Flat,Brown,None,Broad,Grass,Yes
Convex,Yellow,Foul,Narrow,Urban,No
Bell,White,Almond,Broad,Forest,Yes
Flat,Brown,None,Broad,Grass,Yes
Convex,White,Foul,Narrow,Forest,No
Flat,White,None,Broad,Grass,Yes
Bell,Yellow,Foul,Narrow,Urban,No
Convex,Brown,Almond,Broad,Forest,Yes
bell,brown,None,Broad,Grass,Yes
CONVEX,WHITE,Foul,Narrow,Forest,No
 Flat ,Brown,None,Broad,Grass,Yes
Bell,White,Foul,Broad,Forest,No
Convex,Yellow,Foul,Narrow,Urban,Yes
Flat,Brown,None,Broad,Grass,Yes
Bell,Yellow,Almond,Narrow,Forest,Yes
Convex,White,Foul,Narrow,Urban,No
Flat,Brown,None,Broad,Grass,Yes
Bell,White,Almond,Narrow,Grass,Yes
Convex,Brown,Foul,Broad,Forest,No
Flat,Yellow,None,Broad,Urban,Yes
Bell,Brown,Almond,Narrow,Grass,Yes
Convex,White,Foul,Narrow,Urban,No
Flat,White,None,Narrow,Forest,Yes
Bell,Brown,Foul,Broad,Grass,No
Convex,Yellow,None,Narrow,Forest,Yes
Flat,Brown,Foul,Broad,Urban,No
Bell,White,Almond,Narrow,Grass,Yes
Convex,Brown,Foul,Broad,Forest,No
Flat,Yellow,None,Broad,Urban,Yes
Bell,Brown,Almond,Narrow,Grass,Yes
Convex,White,Foul,Narrow,Urban,No
Flat,White,None,Narrow,Forest,Yes
Bell,Yellow,Foul,Broad,Grass,No
Convex,Brown,Almond,Narrow,Urban,Yes
Flat,White,Foul,Broad,Forest,No
Bell,Brown,None,Narrow,Grass,Yes
Convex,Yellow,Almond,Broad,Urban,No
Flat,Brown,Foul,Narrow,Forest,Yes
Bell,White,None,Broad,Grass,Yes
Convex,Brown,Foul,Broad,Urban,No
Flat,Yellow,Almond,Narrow,Forest,Yes
Bell,Brown,Foul,Narrow,Grass,No
Convex,White,None,Broad,Urban,Yes
Flat,White,Foul,Narrow,Forest,No
Bell,Yellow,Almond,Broad,Urban,No
Convex,White,Foul,Narrow,Forest,No
Flat,Brown,Almond,Broad,Urban,Yes
Bell,Brown,None,Narrow,Grass,Yes
Convex,Yellow,Foul,Broad,Forest,No
Flat,Brown,Almond,Narrow,Urban,Yes
Bell,White,Foul,Narrow,Grass,No
Convex,White,None,Broad,Urban,Yes
Flat,White,Almond,Narrow,Forest,Yes
Bell,Yellow,Almond,Broad,Urban,No
Convex,Brown,Foul,Narrow,Urban,No
Flat,Brown,None,Broad,Forest,Yes
Bell,White,Almond,Narrow,Grass,Yes
Convex,Yellow,Foul,Broad,Urban,No
Flat,White,Foul,Narrow,Forest,No
Bell,Brown,None,Narrow,Urban,No
Convex,White,Almond,Broad,Forest,Yes
Flat,Brown,Foul,Narrow,Urban,No
Bell,Yellow,None,Broad,Urban,Yes
Convex,White,Foul,Narrow,Forest,No
Flat,Yellow,Almond,Narrow,Urban,Yes
Bell,Brown,Foul,Broad,Urban,No
Convex,Yellow,None,Narrow,Urban,Yes
Flat,White,Foul,Narrow,Grass,No
Bell,Yellow,Almond,Narrow,Forest,Yes
Convex,Brown,Foul,Broad,Grass,No
Flat,Brown,None,Narrow,Urban,Yes
Bell,White,None,Broad,Urban,No
Convex,White,Almond,Narrow,Urban,Yes
Flat,Yellow,Foul,Narrow,Forest,No
Bell,Brown,Foul,Narrow,Urban,No
Convex,Yellow,Almond,Broad,Urban,Yes
Flat,Brown,None,Broad,Urban,No
Bell,Yellow,None,Narrow,Urban,Yes
Convex,White,Foul,Narrow,Urban,No
Flat,White,Almond,Broad,Urban,Yes
Bell,Brown,Foul,Broad,Forest,No
Convex,Yellow,Almond,Narrow,Urban,Yes
Flat,White,Foul,Narrow,Urban,No
Bell,Yellow,None,Broad,Urban,Yes
Convex,Brown,Foul,Narrow,Urban,No
Flat,Yellow,Almond,Narrow,Urban,Yes
Bell,Brown,Foul,Broad,Urban,No
Convex,Yellow,Almond,Narrow,Urban,Yes
Flat,White,Foul,Narrow,Urban,No
Bell,Yellow,Almond,Broad,Urban,Yes
Convex,Brown,Foul,Narrow,Urban,No
Flat,Yellow,None,Narrow,Urban,Yes
Bell,White,Foul,Narrow,Urban,No
Convex,White,Almond,Broad,Urban,Yes
Flat,Brown,Foul,Narrow,Urban,No
Bell,Yellow,None,Broad,Urban,Yes
Convex,Brown,Almond,Narrow,Urban,Yes
Flat,White,Foul,Narrow,Urban,No
Bell,Yellow,Almond,Narrow,Urban,Yes
