Email,Spam
"Congratulations! You won $1000. Claim now!",Spam
"Meeting moved to 3 PM today.",Not Spam
"URGENT!! Click here to claim your prize.",Spam
"Can we reschedule our meeting?",Not Spam
"FREE vacation waiting for you!!!",Spam
"Project submission deadline tomorrow.",Not Spam
"Lowest loan rates available now!!!",Spam
"Let's have lunch tomorrow.",Not Spam
"Win a brand new iPhone today!",Spam
"Happy Birthday! Have a wonderful day!",Not Spam
"Congratulations! You won $1000. Claim now!",Spam
"",Spam
"FREE FREE FREE MONEY!!!",Spam
"meeting at 10 am",Not Spam
"MEETING AT 10 AM",Not Spam
" Limited offer only today ",Spam
